train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_dice,val_dice,train_miou,val_miou,train_iou,val_iou
0.3842942751110045,0.7870742266668993,0.9252598036581011,0.85833740234375,0.861599444453396,0.6856258554907981,0.8471261523107985,0.6531988273987629,0.8528389193451227,0.6555186349099077,0.8231453084901198,0.6632874131415413,0.7478774690361165,0.5229591221042724
0.3881751757615538,0.7833626322886523,0.9251007820243267,0.8602534287116107,0.8584615424720209,0.6905862163134541,0.8445846068102922,0.6503250657882355,0.8500379041504504,0.6546707266067316,0.8210304522358659,0.6641372934269087,0.7444263775624446,0.5242366766798965
0.3867210029666103,0.758978314259473,0.925531643540112,0.8623037162949058,0.8593260814894491,0.6879140836963951,0.8448980306066683,0.6508476384487414,0.8507109070891765,0.6575500966719119,0.8210703105624042,0.6672622331005935,0.7444935298677701,0.5255771510903073
0.38408985339216334,0.7671698077636606,0.9264774607188666,0.8629692687707788,0.8608303187943217,0.6845299252026427,0.8430135470272889,0.639005697278395,0.8507708569071186,0.6501966289617807,0.8223809993533946,0.6650913949107395,0.7454602471483287,0.5203556181171306
0.3719094694772763,0.7674191199681338,0.9287648556837395,0.8589262874687419,0.8681060960933343,0.6831032245639054,0.8488193306126701,0.659974952461198,0.8569728856656089,0.6566781244678971,0.8280382960367558,0.6647535091615282,0.7545623487945813,0.5248997926314855
0.36824666019251096,0.7656414982150582,0.9289969543912517,0.8640809164327734,0.8681668167683616,0.6970882076550743,0.8535556415123726,0.6345900005667405,0.8596692772498772,0.6511901106678089,0.8305376701390565,0.6669506568106187,0.7577189596286461,0.5206695447677132
0.3689445285543577,0.7700525066431831,0.929094143767855,0.8626408296472886,0.8676155494220221,0.6784259503988056,0.8521773750657466,0.6594109274857842,0.8586385283452361,0.6592817612553892,0.8302199253395423,0.6686579001714776,0.7569197547524723,0.5280284749186488
0.3639111007327464,0.7743562565130346,0.9302464385530842,0.8613496668198529,0.8707437684286886,0.702515661764397,0.8541545832335059,0.6240111102062442,0.8613779095571432,0.6473136773086426,0.8324169638330368,0.6633806115184117,0.7604812629409691,0.5155797540381386
0.3620556360527651,0.7793554646127364,0.9310208790337862,0.8606647428344277,0.8718420622953728,0.694456386932516,0.8528333317710838,0.6408148661940885,0.8609849004380739,0.6538752732346168,0.8329834393295112,0.6646496167368614,0.7608432863463661,0.5214275639428543
0.36542523535552307,0.7854922150864321,0.930585377251924,0.8550739665241802,0.8678999359705555,0.6660403494640965,0.8508929392712107,0.6662478518076514,0.8580115180351396,0.6550694631433169,0.8308745412670299,0.6612007744937299,0.7575622303689371,0.5243195777207695
0.3537502577389354,0.7740072976140415,0.9322484144523963,0.8611937884022208,0.8743256855366836,0.6753821769726689,0.8596445953668054,0.6588784624276313,0.8658266228748791,0.6581508839804241,0.8374644363882826,0.6666669115177629,0.7674670611966902,0.5258161665269119
0.35403747995620344,0.7816395207363016,0.9331540634383017,0.8638414126985213,0.8736556553796156,0.6955594005973808,0.8558210135618253,0.6286318105980634,0.8634940915143312,0.6487588534002522,0.836649120743595,0.6657555481482591,0.7653867789168856,0.5188601238670743
0.3530792461624786,0.7705532093258465,0.9332148139156512,0.8663701081977171,0.8747499411675468,0.7001864632230794,0.8567384237896151,0.6338414839316387,0.8647059820481201,0.6540425404617871,0.8371537934933135,0.6700038465143555,0.7665430431935325,0.523038282567173
0.3518146713500592,0.7751277553684571,0.9335546920548624,0.861470466150957,0.8741331786584499,0.684708413985551,0.8568142069809472,0.6489703177229624,0.8643371625177896,0.65640276454146,0.8372497795455491,0.6665579628874291,0.7657757735074456,0.5242392220076427
0.3459355773876852,0.7788783504682428,0.9341019587730294,0.8624686458531547,0.8778975852834645,0.6974214638056069,0.8609678640739241,0.6265356524244827,0.8684252640649454,0.6480032775845543,0.8403220051037732,0.6640953051794307,0.7713109108049478,0.5159647812063614
0.34860041398388236,0.7720709863831016,0.9345385708026032,0.8596527260892531,0.8752145277920054,0.6675671296449283,0.8582338690201738,0.6613652698211167,0.8655678951250974,0.6555218420955284,0.8390298206637155,0.6645236697301752,0.7684582847712645,0.5239661148435142
0.3380811396819442,0.7926884512690937,0.9361435619752798,0.8629792157341453,0.8808960863458577,0.6907615105370373,0.8640657185173747,0.6320980454423418,0.8715431570117154,0.6504325636761341,0.844336722546549,0.6651274848477461,0.7760902932330743,0.5188249160196162
0.3333008094732441,0.787603910355007,0.9372947180449073,0.8622033368138706,0.8824739754199982,0.6844303158016228,0.8646707118891958,0.6450900505257117,0.8725554929740393,0.6535000049494255,0.8459445179731988,0.6665641336271522,0.7787391262045548,0.5229301811047522
0.32979173077020185,0.8038860068601721,0.9377328958084334,0.8609821095186121,0.8847007855995378,0.6848157192340724,0.8673888300337008,0.6417002682950731,0.8753005230604712,0.6526073371916188,0.8481197478944686,0.6649505322412177,0.7820886984022696,0.5211365489282317
0.32577539324315624,0.8204746614484226,0.9384862985183944,0.8576070000143612,0.8881956105356785,0.6716932774425539,0.8683043013312923,0.6585659817792475,0.8773671050569904,0.6547710850341794,0.8502885623654323,0.6625656850725029,0.7852270959028557,0.5218629129847292
